survey_date,ano_ref,dlsp_focus_med_pct_pib,numeroRespondentes
2018-03-15,2021,60.6,17
2018-03-15,2022,61.95,16
2018-03-15,2023,62.6,15
2018-03-15,2024,62.05,14
2018-03-15,2025,60.0,13
2018-03-16,2019,57.6,23
2018-03-16,2020,58.9,19
2018-03-16,2021,60.6,17
2018-03-16,2022,61.95,16
2018-03-16,2023,62.6,15
2018-03-16,2024,62.05,14
2018-03-16,2025,60.0,13
2018-03-19,2019,57.4,20
2018-03-19,2020,59.35,16
2018-03-19,2021,61.15,14
2018-03-19,2022,61.95,14
2018-03-19,2023,62.6,13
2018-03-19,2024,62.05,12
2018-03-19,2025,60.0,11
2018-03-20,2019,57.6,21
2018-03-20,2020,59.8,17
2018-03-20,2021,61.3,15
2018-03-20,2022,62.0,15
2018-03-20,2023,63.1,14
2018-03-20,2024,62.1,13
2018-03-20,2025,60.9,12
2018-03-21,2019,57.4,22
2018-03-21,2020,59.35,18
2018-03-21,2021,61.3,15
2018-03-21,2022,62.0,15
2018-03-21,2023,63.1,14
2018-03-21,2024,62.1,13
2018-03-21,2025,60.9,12
2018-03-22,2019,57.4,22
2018-03-22,2020,59.35,18
2018-03-22,2021,61.3,15
2018-03-22,2022,62.0,15
2018-03-22,2023,63.1,14
2018-03-22,2024,62.1,13
2018-03-22,2025,60.9,12
2018-03-23,2019,57.2,21
2018-03-23,2020,59.8,17
2018-03-23,2021,61.3,14
2018-03-23,2022,62.3,14
2018-03-23,2023,63.6,13
2018-03-23,2024,62.5,12
2018-03-23,2025,61.8,11
2018-03-26,2019,57.2,19
2018-03-26,2020,59.8,15
2018-03-26,2021,61.3,13
2018-03-26,2022,62.0,13
2018-03-26,2023,63.1,12
2018-03-26,2024,62.5,12
2018-03-26,2025,61.8,11
2018-03-27,2019,57.2,19
2018-03-27,2020,59.8,15
2018-03-27,2021,61.3,13
2018-03-27,2022,62.0,13
2018-03-27,2023,63.1,12
2018-03-27,2024,62.5,12
2018-03-27,2025,61.8,11
2018-03-28,2019,57.4,20
2018-03-28,2020,59.35,16
2018-03-28,2021,61.15,14
2018-03-28,2022,61.95,14
2018-03-28,2023,62.6,13
2018-03-28,2024,62.1,13
2018-03-28,2025,60.9,12
2018-03-29,2019,57.4,20
2018-03-29,2020,59.35,16
2018-03-29,2021,61.15,14
2018-03-29,2022,61.95,14
2018-03-29,2023,62.6,13
2018-03-29,2024,62.1,13
2018-03-29,2025,60.9,12
2018-04-02,2019,57.2,19
2018-04-02,2020,58.9,17
2018-04-02,2021,61.0,15
2018-04-02,2022,61.9,15
2018-04-02,2023,62.55,14
2018-04-02,2024,62.2,14
2018-04-02,2025,61.8,13
2018-04-03,2019,57.4,20
2018-04-03,2020,58.9,17
2018-04-03,2021,61.0,15
2018-04-03,2022,61.9,15
2018-04-03,2023,62.55,14
2018-04-03,2024,62.2,14
2018-04-03,2025,61.8,13
2018-04-04,2019,57.4,20
2018-04-04,2020,58.9,17
2018-04-04,2021,61.0,15
2018-04-04,2022,61.9,15
2018-04-04,2023,62.55,14
2018-04-04,2024,62.2,14
2018-04-04,2025,61.8,13
2018-04-05,2019,57.4,20
2018-04-05,2020,58.9,17
2018-04-05,2021,61.0,15
2018-04-05,2022,61.9,15
2018-04-05,2023,62.55,14
2018-04-05,2024,62.2,14
2018-04-05,2025,61.8,13
2018-04-06,2019,57.2,21
2018-04-06,2020,58.9,17
2018-04-06,2021,61.0,15
2018-04-06,2022,61.9,15
2018-04-06,2023,62.55,14
2018-04-06,2024,62.2,14
2018-04-06,2025,61.8,13
2018-04-09,2019,57.1,22
2018-04-09,2020,58.9,17
2018-04-09,2021,61.0,15
2018-04-09,2022,61.9,15
2018-04-09,2023,62.55,14
2018-04-09,2024,62.2,14
2018-04-09,2025,61.95,14
2018-04-10,2019,57.1,22
2018-04-10,2020,58.9,17
2018-04-10,2021,61.0,15
2018-04-10,2022,61.9,15
2018-04-10,2023,62.55,14
2018-04-10,2024,62.2,14
2018-04-10,2025,61.95,14
2018-04-11,2019,57.0,22
2018-04-11,2020,58.9,17
2018-04-11,2021,61.0,15
2018-04-11,2022,61.9,15
2018-04-11,2023,62.55,14
2018-04-11,2024,62.2,14
2018-04-11,2025,61.95,14
2018-04-12,2019,57.0,22
2018-04-12,2020,58.9,17
2018-04-12,2021,61.0,15
2018-04-12,2022,61.9,15
2018-04-12,2023,62.55,14
2018-04-12,2024,62.2,14
2018-04-12,2025,61.95,14
2018-04-13,2019,57.0,22
2018-04-13,2020,58.53,18
2018-04-13,2021,61.0,15
2018-04-13,2022,61.9,15
2018-04-13,2023,62.55,14
2018-04-13,2024,62.2,14
2018-04-13,2025,61.95,14
2018-04-16,2019,57.1,22
2018-04-16,2020,59.2,18
2018-04-16,2021,61.0,15
2018-04-16,2022,62.0,15
2018-04-16,2023,63.0,14
2018-04-16,2024,62.3,13
2018-04-16,2025,62.1,13
2018-04-17,2019,57.1,22
2018-04-17,2020,59.2,18
2018-04-17,2021,61.0,15
2018-04-17,2022,62.0,15
2018-04-17,2023,63.0,14
2018-04-17,2024,62.3,13
2018-04-17,2025,62.1,13
2018-04-18,2019,57.1,22
2018-04-18,2020,59.2,18
2018-04-18,2021,61.0,15
2018-04-18,2022,62.0,15
2018-04-18,2023,63.0,14
2018-04-18,2024,62.3,13
2018-04-18,2025,62.1,13
2018-04-19,2019,57.0,24
2018-04-19,2020,59.2,20
2018-04-19,2021,61.0,17
2018-04-19,2022,62.0,17
2018-04-19,2023,63.0,16
2018-04-19,2024,62.3,15
2018-04-19,2025,62.1,15
2018-04-20,2019,57.0,24
2018-04-20,2020,59.2,20
2018-04-20,2021,61.0,17
2018-04-20,2022,62.0,17
2018-04-20,2023,63.0,16
2018-04-20,2024,62.3,15
2018-04-20,2025,62.1,15
2018-04-23,2019,57.0,23
2018-04-23,2020,59.5,19
2018-04-23,2021,61.0,17
2018-04-23,2022,62.0,17
2018-04-23,2023,63.0,16
2018-04-23,2024,62.3,15
2018-04-23,2025,62.1,15
2018-04-24,2019,57.0,23
2018-04-24,2020,59.5,19
2018-04-24,2021,61.0,17
2018-04-24,2022,62.0,17
2018-04-24,2023,62.95,16
2018-04-24,2024,62.1,15
2018-04-24,2025,61.8,15
2018-04-25,2019,57.0,23
2018-04-25,2020,59.5,19
2018-04-25,2021,61.0,17
2018-04-25,2022,62.0,17
2018-04-25,2023,62.95,16
2018-04-25,2024,62.1,15
2018-04-25,2025,61.8,15
2018-04-26,2019,57.0,23
2018-04-26,2020,59.5,19
2018-04-26,2021,61.0,17
2018-04-26,2022,62.0,17
2018-04-26,2023,62.95,16
2018-04-26,2024,62.1,15
2018-04-26,2025,61.8,15
2018-04-27,2019,57.0,23
2018-04-27,2020,59.5,19
2018-04-27,2021,61.0,17
2018-04-27,2022,62.0,17
2018-04-27,2023,62.95,16
2018-04-27,2024,62.1,15
2018-04-27,2025,61.8,15
2018-04-30,2019,57.0,23
2018-04-30,2020,59.5,19
2018-04-30,2021,61.15,16
2018-04-30,2022,62.25,16
2018-04-30,2023,63.4,15
2018-04-30,2024,62.2,14
2018-04-30,2025,61.95,14
2018-05-02,2019,57.0,23
2018-05-02,2020,59.5,19
2018-05-02,2021,61.15,16
2018-05-02,2022,62.25,16
2018-05-02,2023,63.4,15
2018-05-02,2024,62.2,14
2018-05-02,2025,61.95,14
2018-05-03,2019,57.0,22
2018-05-03,2020,59.6,18
2018-05-03,2021,61.3,15
2018-05-03,2022,62.5,15
2018-05-03,2023,63.5,14
2018-05-03,2024,62.1,13
2018-05-03,2025,61.8,13
2018-05-04,2019,57.0,21
2018-05-04,2020,59.6,18
2018-05-04,2021,61.15,16
2018-05-04,2022,62.25,16
2018-05-04,2023,63.5,14
2018-05-04,2024,62.1,13
2018-05-04,2025,61.8,13
2018-05-07,2019,57.0,20
2018-05-07,2020,59.6,18
2018-05-07,2021,61.15,16
2018-05-07,2022,62.25,16
2018-05-07,2023,63.5,14
2018-05-07,2024,62.1,13
2018-05-07,2025,61.8,13
2018-05-08,2019,57.0,20
2018-05-08,2020,59.6,18
2018-05-08,2021,61.15,16
2018-05-08,2022,62.25,16
2018-05-08,2023,62.95,14
2018-05-08,2024,62.0,13
2018-05-08,2025,60.4,13
2018-05-09,2019,57.0,22
2018-05-09,2020,59.5,20
2018-05-09,2021,61.0,17
2018-05-09,2022,62.0,17
2018-05-09,2023,62.5,15
2018-05-09,2024,62.05,14
2018-05-09,2025,61.25,14
2018-05-10,2019,57.0,21
2018-05-10,2020,59.5,20
2018-05-10,2021,61.0,17
2018-05-10,2022,62.0,17
2018-05-10,2023,62.5,15
2018-05-10,2024,62.05,14
2018-05-10,2025,61.25,14
2018-05-11,2019,57.0,21
2018-05-11,2020,59.55,20
2018-05-11,2021,61.15,17
2018-05-11,2022,62.25,17
2018-05-11,2023,62.5,15
2018-05-11,2024,62.05,14
2018-05-11,2025,61.25,14
2018-05-14,2019,57.6,19
2018-05-14,2020,59.6,19
2018-05-14,2021,61.23,16
2018-05-14,2022,62.38,16
2018-05-14,2023,62.95,14
2018-05-14,2024,62.1,13
2018-05-14,2025,62.1,13
2018-05-15,2019,57.3,20
2018-05-15,2020,59.55,20
2018-05-15,2021,61.15,17
2018-05-15,2022,62.25,17
2018-05-15,2023,62.6,15
2018-05-15,2024,62.3,14
2018-05-15,2025,62.5,14
2018-05-16,2019,57.3,20
2018-05-16,2020,59.55,20
2018-05-16,2021,61.15,17
2018-05-16,2022,62.25,17
2018-05-16,2023,62.6,15
2018-05-16,2024,62.3,14
2018-05-16,2025,62.5,14
2018-05-17,2019,57.0,19
2018-05-17,2020,59.5,19
2018-05-17,2021,61.08,16
2018-05-17,2022,62.13,16
2018-05-17,2023,62.55,14
2018-05-17,2024,62.3,14
2018-05-17,2025,62.5,14
2018-05-18,2019,57.0,20
2018-05-18,2020,59.5,19
2018-05-18,2021,61.08,16
2018-05-18,2022,62.13,16
2018-05-18,2023,62.55,14
2018-05-18,2024,62.3,14
2018-05-18,2025,62.5,14
2018-05-21,2019,57.0,19
2018-05-21,2020,58.9,17
2018-05-21,2021,60.98,14
2018-05-21,2022,62.13,14
2018-05-21,2023,62.5,12
2018-05-21,2024,62.25,12
2018-05-21,2025,61.65,12
2018-05-22,2019,57.0,20
2018-05-22,2020,59.2,18
2018-05-22,2021,61.15,15
2018-05-22,2022,62.25,15
2018-05-22,2023,62.6,13
2018-05-22,2024,62.25,12
2018-05-22,2025,61.65,12
2018-05-23,2019,57.0,20
2018-05-23,2020,59.2,18
2018-05-23,2021,61.15,15
2018-05-23,2022,62.25,15
2018-05-23,2023,62.6,13
2018-05-23,2024,62.25,12
2018-05-23,2025,61.65,12
2018-05-24,2019,57.0,20
2018-05-24,2020,59.2,18
2018-05-24,2021,61.15,15
2018-05-24,2022,62.25,15
2018-05-24,2023,62.6,13
2018-05-24,2024,62.25,12
2018-05-24,2025,61.65,12
2018-05-25,2019,57.0,20
2018-05-25,2020,59.2,18
2018-05-25,2021,61.08,15
2018-05-25,2022,62.13,15
2018-05-25,2023,63.3,13
2018-05-25,2024,62.55,12
2018-05-25,2025,62.1,12
2018-05-28,2019,57.0,20
2018-05-28,2020,59.2,18
2018-05-28,2021,61.08,15
2018-05-28,2022,62.13,15
2018-05-28,2023,63.3,13
2018-05-28,2024,62.55,12
2018-05-28,2025,62.1,12
2018-05-29,2019,57.0,20
2018-05-29,2020,59.2,18
2018-05-29,2021,61.08,15
2018-05-29,2022,62.13,15
2018-05-29,2023,63.3,13
2018-05-29,2024,62.55,12
2018-05-29,2025,62.1,12
2018-05-30,2019,57.0,20
2018-05-30,2020,59.2,18
2018-05-30,2021,61.08,15
2018-05-30,2022,62.13,15
2018-05-30,2023,63.3,13
