survey_date,ano_ref,dbgg_focus_med_pct_pib,numeroRespondentes,dbgg_sgs_pct_pib,dbgg_sgs_yoy_pp,dbgg_sgs_data_obs,dbgg_divulgacao_aprox
2018-07-25,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-26,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-27,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-30,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-31,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-01,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-02,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-03,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-06,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-07,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-08,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-09,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-10,2025,83.3,13,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-13,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-14,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-15,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-16,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-17,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-20,2025,83.0,13,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-21,2025,83.0,13,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-22,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-23,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-24,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-27,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-28,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-29,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-30,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-08-31,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-09-03,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-09-04,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-09-05,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-09-06,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-09-10,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-09-11,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-09-12,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-09-13,2025,83.05,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-09-14,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-09-17,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-09-18,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-09-19,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
