survey_date;selic_year_ref;selic_focus_pct;reuniao;selic_focus_nresp;ref_yyyymm;ipca_focus_med_mensal_pct
2021-04-08;2021;5,5;R8/2021;22;202104;5,5
2021-04-09;2021;5,25;R8/2021;30;202104;5,25
2021-04-12;2021;5,25;R8/2021;32;202104;5,25
2021-04-13;2021;5,125;R8/2021;34;202104;5,125
2021-04-14;2021;5,0;R8/2021;37;202104;5,0
2021-04-15;2021;5,375;R8/2021;38;202104;5,375
2021-04-16;2021;5,5;R8/2021;39;202104;5,5
2021-04-19;2021;5,5;R8/2021;39;202104;5,5
2021-04-20;2021;5,375;R8/2021;38;202104;5,375
2021-04-22;2021;5,5;R8/2021;42;202104;5,5
2021-04-23;2021;5,25;R8/2021;71;202104;5,25
2021-04-26;2021;5,25;R8/2021;73;202104;5,25
2021-04-27;2021;5,25;R8/2021;71;202104;5,25
2021-04-28;2021;5,5;R8/2021;73;202104;5,5
2021-04-29;2021;5,375;R8/2021;70;202104;5,375
2021-04-30;2021;5,5;R8/2021;68;202104;5,5
2021-05-03;2021;5,5;R8/2021;62;202105;5,5
2021-05-04;2021;5,5;R8/2021;61;202105;5,5
2021-05-05;2021;5,5;R8/2021;62;202105;5,5
2021-05-06;2021;5,5;R8/2021;60;202105;5,5
2021-05-07;2021;5,5;R8/2021;38;202105;5,5
2021-05-10;2021;5,5;R8/2021;43;202105;5,5
2021-05-11;2021;5,5;R8/2021;50;202105;5,5
2021-05-12;2021;5,5;R8/2021;52;202105;5,5
2021-05-13;2021;5,5;R8/2021;49;202105;5,5
2021-05-14;2021;5,75;R8/2021;67;202105;5,75
2021-05-17;2021;5,75;R8/2021;69;202105;5,75
2021-05-18;2021;5,75;R8/2021;65;202105;5,75
2021-05-19;2021;5,5;R8/2021;61;202105;5,5
2021-05-20;2021;5,5;R8/2021;60;202105;5,5
2021-05-21;2021;5,5;R8/2021;45;202105;5,5
2021-05-24;2021;5,75;R8/2021;49;202105;5,75
2021-05-25;2021;5,75;R8/2021;53;202105;5,75
2021-05-26;2021;5,75;R8/2021;60;202105;5,75
2021-05-27;2021;5,75;R8/2021;54;202105;5,75
2021-05-28;2021;6,0;R8/2021;43;202105;6,0
2021-05-31;2021;6,0;R8/2021;44;202105;6,0
2021-06-01;2021;6,0;R8/2021;42;202106;6,0
2021-06-02;2021;6,0;R8/2021;44;202106;6,0
2021-06-04;2021;6,0;R8/2021;49;202106;6,0
2021-06-07;2021;6,0;R8/2021;47;202106;6,0
2021-06-08;2021;6,0;R8/2021;44;202106;6,0
2021-06-09;2021;6,0;R8/2021;48;202106;6,0
2021-06-10;2021;6,0;R8/2021;57;202106;6,0
2021-06-11;2021;6,25;R8/2021;84;202106;6,25
2021-06-14;2021;6,375;R8/2021;86;202106;6,375
2021-06-15;2021;6,5;R8/2021;82;202106;6,5
2021-06-16;2021;6,5;R8/2021;81;202106;6,5
2021-06-17;2021;6,5;R8/2021;78;202106;6,5
2021-06-18;2021;6,5;R8/2021;57;202106;6,5
2021-06-21;2021;6,5;R8/2021;56;202106;6,5
2021-06-22;2021;6,5;R8/2021;62;202106;6,5
