survey_date;ipca_focus_ano_pct;ipca_year_ref;ipca_focus_ano_nresp;ipca_ibge_acum_ano_dez_pct;erro_prev_menos_real_pp;meta_centro;meta_inferior;meta_superior;desancoragem_centro;desancoragem_absoluta
2021-11-17;10,1156;2021;73,0;;;3,75;2,25;5,25;6,365600000000001;6,365600000000001
2021-11-18;10,1264;2021;70,0;;;3,75;2,25;5,25;6,3764;6,3764
2021-11-19;10,159;2021;105,0;;;3,75;2,25;5,25;6,409000000000001;6,409000000000001
2021-11-22;10,1701;2021;103,0;;;3,75;2,25;5,25;6,4201;6,4201
2021-11-23;10,1919;2021;98,0;;;3,75;2,25;5,25;6,4419;6,4419
2021-11-24;10,192;2021;96,0;;;3,75;2,25;5,25;6,442;6,442
2021-11-25;10,1919;2021;91,0;;;3,75;2,25;5,25;6,4419;6,4419
2021-11-26;10,1914;2021;42,0;;;3,75;2,25;5,25;6,4414;6,4414
2021-11-29;10,1911;2021;43,0;;;3,75;2,25;5,25;6,4411000000000005;6,4411000000000005
2021-11-30;10,1911;2021;41,0;;;3,75;2,25;5,25;6,4411000000000005;6,4411000000000005
2021-12-01;10,1701;2021;47,0;;;3,75;2,25;5,25;6,4201;6,4201
2021-12-02;10,1701;2021;52,0;;;3,75;2,25;5,25;6,4201;6,4201
2021-12-03;10,1914;2021;98,0;;;3,75;2,25;5,25;6,4414;6,4414
2021-12-06;10,1917;2021;93,0;;;3,75;2,25;5,25;6,441700000000001;6,441700000000001
2021-12-07;10,1917;2021;100,0;;;3,75;2,25;5,25;6,441700000000001;6,441700000000001
2021-12-08;10,192;2021;97,0;;;3,75;2,25;5,25;6,442;6,442
2021-12-09;10,2026;2021;93,0;;;3,75;2,25;5,25;6,4526;6,4526
2021-12-10;10,0299;2021;56,0;;;3,75;2,25;5,25;6,2799;6,2799
2021-12-13;10,0324;2021;54,0;;;3,75;2,25;5,25;6,282400000000001;6,282400000000001
2021-12-14;10,0315;2021;51,0;;;3,75;2,25;5,25;6,281499999999999;6,281499999999999
2021-12-15;10,0282;2021;51,0;;;3,75;2,25;5,25;6,2782;6,2782
2021-12-16;10,0282;2021;51,0;;;3,75;2,25;5,25;6,2782;6,2782
2021-12-17;10,0282;2021;49,0;;;3,75;2,25;5,25;6,2782;6,2782
2021-12-20;10,0173;2021;53,0;;;3,75;2,25;5,25;6,2673000000000005;6,2673000000000005
2021-12-21;10,0282;2021;58,0;;;3,75;2,25;5,25;6,2782;6,2782
2021-12-22;10,0282;2021;61,0;;;3,75;2,25;5,25;6,2782;6,2782
2021-12-23;10,0008;2021;69,0;;;3,75;2,25;5,25;6,2508;6,2508
2021-12-24;9,9955;2021;60,0;;;3,75;2,25;5,25;6,2455;6,2455
2021-12-27;9,9845;2021;62,0;;;3,75;2,25;5,25;6,234500000000001;6,234500000000001
2021-12-28;9,9845;2021;57,0;;;3,75;2,25;5,25;6,234500000000001;6,234500000000001
2021-12-29;9,9736;2021;56,0;;;3,75;2,25;5,25;6,223599999999999;6,223599999999999
2021-12-30;9,9736;2021;37,0;;;3,75;2,25;5,25;6,223599999999999;6,223599999999999
2021-12-31;9,9627;2021;29,0;;;3,75;2,25;5,25;6,2127;6,2127
2022-01-03;4,9788;2022;37,0;;;3,5;2,0;5,0;1,4787999999999997;1,4787999999999997
2022-01-04;5,0208;2022;39,0;;;3,5;2,0;5,0;1,5208000000000004;1,5208000000000004
2022-01-05;5,0329;2022;38,0;;;3,5;2,0;5,0;1,5328999999999997;1,5328999999999997
2022-01-06;5,0329;2022;34,0;;;3,5;2,0;5,0;1,5328999999999997;1,5328999999999997
2022-01-07;5,0411;2022;61,0;;;3,5;2,0;5,0;1,5411000000000001;1,5411000000000001
2022-01-10;5,0933;2022;53,0;;;3,5;2,0;5,0;1,5933000000000002;1,5933000000000002
2022-01-11;5,0882;2022;54,0;;;3,5;2,0;5,0;1,5881999999999996;1,5881999999999996
2022-01-12;5,0933;2022;55,0;;;3,5;2,0;5,0;1,5933000000000002;1,5933000000000002
2022-01-13;5,0949;2022;59,0;;;3,5;2,0;5,0;1,5949;1,5949
2022-01-14;5,0831;2022;54,0;;;3,5;2,0;5,0;1,5831;1,5831
2022-01-17;5,0831;2022;62,0;;;3,5;2,0;5,0;1,5831;1,5831
2022-01-18;5,0711;2022;63,0;;;3,5;2,0;5,0;1,5711000000000004;1,5711000000000004
2022-01-19;5,1124;2022;63,0;;;3,5;2,0;5,0;1,6124;1,6124
2022-01-20;5,1131;2022;64,0;;;3,5;2,0;5,0;1,6131000000000002;1,6131000000000002
2022-01-21;5,1744;2022;97,0;;;3,5;2,0;5,0;1,6744000000000003;1,6744000000000003
2022-01-24;5,1744;2022;99,0;;;3,5;2,0;5,0;1,6744000000000003;1,6744000000000003
2022-01-25;5,1604;2022;94,0;;;3,5;2,0;5,0;1,6604;1,6604
