survey_date,tri_ref,ano_ref,pib_focus_trim_med_pct,numeroRespondentes
2018-11-12,3,2019,2.7,41
2018-11-12,4,2019,2.77,38
2018-11-13,1,2019,2.3,45
2018-11-13,2,2019,2.69,45
2018-11-13,3,2019,2.7,42
2018-11-13,4,2019,2.8,39
2018-11-14,1,2019,2.29,46
2018-11-14,2,2019,2.65,46
2018-11-14,3,2019,2.7,43
2018-11-14,4,2019,2.8,39
2018-11-16,1,2019,2.3,47
2018-11-16,2,2019,2.69,47
2018-11-16,3,2019,2.7,44
2018-11-16,4,2019,2.8,41
2018-11-19,1,2019,2.3,45
2018-11-19,2,2019,2.7,45
2018-11-19,3,2019,2.7,42
2018-11-19,4,2019,2.8,39
2018-11-20,1,2019,2.3,45
2018-11-20,2,2019,2.7,45
2018-11-20,3,2019,2.7,42
2018-11-20,4,2019,2.8,39
2018-11-21,1,2019,2.3,46
2018-11-21,2,2019,2.7,46
2018-11-21,3,2019,2.7,43
2018-11-21,4,2019,2.77,40
2018-11-22,1,2019,2.3,46
2018-11-22,2,2019,2.7,46
2018-11-22,3,2019,2.7,43
2018-11-22,4,2019,2.77,40
2018-11-23,1,2019,2.29,46
2018-11-23,2,2019,2.65,46
2018-11-23,3,2019,2.7,43
2018-11-23,4,2019,2.7,40
2018-11-26,1,2019,2.3,45
2018-11-26,2,2019,2.69,45
2018-11-26,3,2019,2.7,43
2018-11-26,4,2019,2.72,40
2018-11-27,1,2019,2.3,45
2018-11-27,2,2019,2.69,45
2018-11-27,3,2019,2.7,43
2018-11-27,4,2019,2.7,41
2018-11-28,1,2019,2.3,45
2018-11-28,2,2019,2.69,45
2018-11-28,3,2019,2.7,43
2018-11-28,4,2019,2.7,41
2018-11-29,1,2019,2.3,45
2018-11-29,2,2019,2.69,45
2018-11-29,3,2019,2.7,43
2018-11-29,4,2019,2.7,41
2018-11-30,1,2019,2.3,47
2018-11-30,2,2019,2.69,47
2018-11-30,3,2019,2.7,44
2018-11-30,4,2019,2.8,42
2018-11-30,1,2020,2.54,8
2018-12-03,1,2019,2.29,48
2018-12-03,2,2019,2.65,48
2018-12-03,3,2019,2.7,45
2018-12-03,4,2019,2.8,43
2018-12-03,1,2020,2.54,10
2018-12-04,1,2019,2.28,48
2018-12-04,2,2019,2.6,48
2018-12-04,3,2019,2.7,45
2018-12-04,4,2019,2.8,43
2018-12-04,1,2020,2.37,11
2018-12-05,1,2019,2.25,48
2018-12-05,2,2019,2.55,48
2018-12-05,3,2019,2.7,45
2018-12-05,4,2019,2.8,43
2018-12-05,1,2020,2.6,13
2018-12-06,1,2019,2.23,47
2018-12-06,2,2019,2.5,47
2018-12-06,3,2019,2.7,44
2018-12-06,4,2019,2.8,43
2018-12-06,1,2020,2.6,15
2018-12-07,1,2019,2.28,47
2018-12-07,2,2019,2.5,47
2018-12-07,3,2019,2.7,44
2018-12-07,4,2019,2.8,43
2018-12-07,1,2020,2.8,17
2018-12-10,1,2019,2.28,46
2018-12-10,2,2019,2.5,46
2018-12-10,3,2019,2.7,44
2018-12-10,4,2019,2.8,43
2018-12-10,1,2020,2.8,18
2018-12-11,1,2019,2.28,46
2018-12-11,2,2019,2.5,46
2018-12-11,3,2019,2.7,44
2018-12-11,4,2019,2.8,43
2018-12-11,1,2020,2.8,19
2018-12-12,1,2019,2.28,46
2018-12-12,2,2019,2.5,46
2018-12-12,3,2019,2.7,44
2018-12-12,4,2019,2.8,43
2018-12-12,1,2020,2.8,19
2018-12-13,1,2019,2.28,46
2018-12-13,2,2019,2.5,46
2018-12-13,3,2019,2.7,44
2018-12-13,4,2019,2.8,43
2018-12-13,1,2020,2.8,19
2018-12-14,1,2019,2.28,46
2018-12-14,2,2019,2.5,46
2018-12-14,3,2019,2.7,44
2018-12-14,4,2019,2.8,43
2018-12-14,1,2020,2.8,19
2018-12-17,1,2019,2.2,45
2018-12-17,2,2019,2.5,45
2018-12-17,3,2019,2.7,43
2018-12-17,4,2019,2.8,43
2018-12-17,1,2020,2.8,19
2018-12-18,1,2019,2.2,46
2018-12-18,2,2019,2.5,46
2018-12-18,3,2019,2.7,44
2018-12-18,4,2019,2.8,44
2018-12-18,1,2020,2.8,20
2018-12-19,1,2019,2.2,47
2018-12-19,2,2019,2.5,47
2018-12-19,3,2019,2.7,45
2018-12-19,4,2019,2.8,45
2018-12-19,1,2020,2.8,20
2018-12-20,1,2019,2.2,47
2018-12-20,2,2019,2.5,47
2018-12-20,3,2019,2.7,45
2018-12-20,4,2019,2.8,45
2018-12-20,1,2020,2.8,20
2018-12-21,1,2019,2.2,47
2018-12-21,2,2019,2.5,47
2018-12-21,3,2019,2.7,45
2018-12-21,4,2019,2.8,45
2018-12-21,1,2020,2.8,21
2018-12-24,1,2019,2.1,43
2018-12-24,2,2019,2.5,43
2018-12-24,3,2019,2.7,42
2018-12-24,4,2019,2.8,42
2018-12-24,1,2020,2.8,21
2018-12-26,1,2019,2.1,44
2018-12-26,2,2019,2.5,44
2018-12-26,3,2019,2.7,43
2018-12-26,4,2019,2.8,43
2018-12-26,1,2020,2.8,22
2018-12-27,1,2019,2.1,44
2018-12-27,2,2019,2.5,44
2018-12-27,3,2019,2.7,43
2018-12-27,4,2019,2.8,43
2018-12-27,1,2020,2.8,22
2018-12-28,1,2019,2.1,45
2018-12-28,2,2019,2.5,44
2018-12-28,3,2019,2.7,43
2018-12-28,4,2019,2.8,43
2018-12-28,1,2020,2.88,22
2018-12-31,1,2019,2.15,44
2018-12-31,2,2019,2.5,43
2018-12-31,3,2019,2.7,42
2018-12-31,4,2019,2.8,42
2018-12-31,1,2020,2.88,22
2019-01-02,1,2019,2.15,44
2019-01-02,2,2019,2.5,43
2019-01-02,3,2019,2.7,42
2019-01-02,4,2019,2.8,42
2019-01-02,1,2020,2.88,22
2019-01-03,1,2019,2.15,44
2019-01-03,2,2019,2.5,43
2019-01-03,3,2019,2.7,42
2019-01-03,4,2019,2.8,42
2019-01-03,1,2020,2.88,22
2019-01-04,1,2019,2.23,44
2019-01-04,2,2019,2.5,43
2019-01-04,3,2019,2.7,42
2019-01-04,4,2019,2.8,42
2019-01-04,1,2020,2.98,22
2019-01-07,1,2019,2.23,44
2019-01-07,2,2019,2.5,43
2019-01-07,3,2019,2.7,42
2019-01-07,4,2019,2.8,42
2019-01-07,1,2020,2.98,22
2019-01-08,1,2019,2.23,44
2019-01-08,2,2019,2.5,43
2019-01-08,3,2019,2.7,42
2019-01-08,4,2019,2.8,42
2019-01-08,1,2020,2.98,22
2019-01-09,1,2019,2.23,44
2019-01-09,2,2019,2.5,43
2019-01-09,3,2019,2.7,42
2019-01-09,4,2019,2.8,42
2019-01-09,1,2020,3.0,23
2019-01-10,1,2019,2.23,44
2019-01-10,2,2019,2.5,43
2019-01-10,3,2019,2.7,42
2019-01-10,4,2019,2.8,42
2019-01-10,1,2020,3.0,23
2019-01-11,1,2019,2.2,44
2019-01-11,2,2019,2.5,43
2019-01-11,3,2019,2.7,42
2019-01-11,4,2019,2.8,42
2019-01-11,1,2020,3.0,24
2019-01-14,1,2019,2.2,47
2019-01-14,2,2019,2.5,46
2019-01-14,3,2019,2.7,45
2019-01-14,4,2019,2.8,45
2019-01-14,1,2020,3.0,25
2019-01-15,1,2019,2.2,48
2019-01-15,2,2019,2.5,47
2019-01-15,3,2019,2.7,46
2019-01-15,4,2019,2.8,46
2019-01-15,1,2020,3.0,25
2019-01-16,1,2019,2.2,48
2019-01-16,2,2019,2.5,47
2019-01-16,3,2019,2.7,46
2019-01-16,4,2019,2.8,46
2019-01-16,1,2020,3.0,25
2019-01-17,1,2019,2.2,48
2019-01-17,2,2019,2.5,47
2019-01-17,3,2019,2.7,46
2019-01-17,4,2019,2.8,45
2019-01-17,1,2020,3.0,25
2019-01-18,1,2019,2.2,51
2019-01-18,2,2019,2.5,50
2019-01-18,3,2019,2.7,48
2019-01-18,4,2019,2.82,46
2019-01-18,1,2020,3.0,27
2019-01-21,1,2019,2.15,48
2019-01-21,2,2019,2.5,47
2019-01-21,3,2019,2.7,45
2019-01-21,4,2019,2.85,43
2019-01-21,1,2020,3.0,26
2019-01-22,1,2019,2.15,48
2019-01-22,2,2019,2.5,47
2019-01-22,3,2019,2.7,45
2019-01-22,4,2019,2.85,43
